NO,FOOD_NAME,FOOD_TYPE,AMOUNT_PER_SERVINGS,UNIT,KCAL,PROTEIN,FAT,CARBOHYDRATE
1,꿩불고기,육류구이,500,g,368.8,33.5,8.5,39.7
2,닭갈비,육류구이,400,g,595.61,45.9,25.8,44.9
3,닭갈비,육류구이,300,g,558.47,45.5,31.6,23.1
4,닭꼬치,육류구이,70,g,176.723,11.562,8.565,13.348
5,더덕구이,채소류구이,100,g,184,3.1,5.2,31.1
6,도미구이,어패류구이,250,g,397,61.1,16.5,2.1
7,돼지갈비,육류구이,100,g,240.32,19.5,14.4,8.1
8,병어구이,어패류구이,250,g,488,54.6,30.8,0.2
9,불고기,육류구이,150,g,395.29,34.4,25.2,7.8
10,붕장어소금구이,어패류구이,100,g,296.54,26,16.2,11.6
11,소양념갈비구이,육류구이,300,g,989.15,60.1,71.6,26.2
12,양념왕갈비,육류구이,150,g,480.81,27.1,35.3,13.7
13,양념장어구이,어패류구이,150,g,433.352,30.771,30.561,8.804
14,임연수구이,어패류구이,250,g,494,53.8,29.4,3.5
15,짚불구이곰장어,어패류구이,200,g,326.21,42.7,16.2,2.3
16,햄버그스테이크,육류구이,200,g,457.697,26.959,29.646,20.761
17,황태구이,어패류구이,200,g,437.57,47.8,15.4,26.9
18,훈제오리,육류구이,250,g,797.14,43.058,64.066,12.078
19,게국지,어패류국.탕,1100,g,415.25,44.9,12.1,31.7
20,곰치국,어패류국.탕,1000,g,419.29,54.3,11.8,23.9
21,굴국밥,어패류국.탕,650,g,683,42.4,17.8,88.4
22,김치국,채소류국.탕,450,g,89,5.4,2.8,10.5
23,떡만둣국,기타 국 및 탕류,700,g,624.915,20.055,11.319,110.707
24,만둣국,기타 국 및 탕류,700,g,434.05,21.429,17.445,47.832
25,맑은감자국,채소류국.탕,700,g,221,8.3,5.5,34.6
26,매생이국,어패류국.탕,500,g,119,10,2.8,13.4
27,무된장국,채소류국.탕,450,g,104,6.1,2.4,14.7
28,미소된장국,채소류국.탕,150,g,38,2.8,1.8,2.8
29,바지락조개국,어패류국.탕,550,g,157,22,3.1,10.1
30,뼈다귀해장국,육류국.탕,1000,g,714,74.6,35.7,23.4
31,선지해장국,육류국.탕,1000,g,312,49.3,5.4,16.7
32,소고기무국,육류국.탕,400,g,123,14.2,4,7.8
33,소고기미역국,육류국.탕,650,g,151,18.1,5.3,7.7
34,순대국,육류국.탕,800,g,540.298,43.523,33.018,17.261
35,시래기된장국,채소류국.탕,450,g,99,6.7,3.1,11
36,올갱이국,어패류국.탕,600,g,144.26,13.7,4.2,13
37,우거지해장국,채소류국.탕,600,g,154.38,11.9,5.9,13.5
38,우렁된장국,어패류국.탕,500,g,245,24.6,7.7,19.2
39,탕국,어패류국.탕,250,g,92.152,13.181,4.272,0.244
40,홍합미역국,어패류국.탕,650,g,167,19.7,4.7,11.6
41,황태해장국,어패류국.탕,600,g,181.7,24.5,6.8,5.7
42,고추잡채,기타 볶음류,200,g,256.769,10.994,12.013,26.171
43,난자완스,육류볶음,200,g,346.249,21.627,20.35,19.149
44,도토리묵말이,기타,1300,g,462.39,6.8,8.5,89.7
45,라조기,육류튀김,200,g,398.993,20.659,23.491,26.234
46,물회,회류,700,g,529.36,34.4,18.9,55.3
47,생선물회,회류,800,g,577.97,34.3,12.3,82.5
48,소고기샤브샤브,육류찌개.전골,600,g,263.75,29.1,9.8,14.7
49,오징어순대,어패류찜,350,g,466.86,45.7,5.6,58.3
50,초당순두부,채소류국.탕,900,g,522.69,49.1,29.2,15.8
